,0,S&P 500
2010-07-02 00:00:00,0.0,
2010-07-06 00:00:00,0.0,
2010-07-07 00:00:00,0.0,
2010-07-08 00:00:00,0.0,
2010-07-09 00:00:00,0.0,
2010-07-12 00:00:00,0.0,
2010-07-13 00:00:00,0.0,
2010-07-14 00:00:00,0.0,
2010-07-15 00:00:00,0.0,
2010-07-16 00:00:00,0.0,
2010-07-19 00:00:00,0.0,
2010-07-20 00:00:00,0.0,
2010-07-21 00:00:00,-0.014635207722031175,-0.012902698981655867
2010-07-22 00:00:00,0.026363799073939737,0.022263687704432576
2010-07-23 00:00:00,0.010108258967459927,0.00818641997138309
2010-07-26 00:00:00,-0.0006058403017660252,0.011137909089887824
2010-07-27 00:00:00,-0.005597649313673525,-0.0010499083563971342
2010-07-28 00:00:00,-0.00702627388823438,-0.0069460326936590135
2010-07-29 00:00:00,-0.008291740640634048,-0.004167292595971823
2010-07-30 00:00:00,-0.006201396720448638,6.34978415841655e-05
2010-08-02 00:00:00,0.030991768221914698,0.021783528093031804
2010-08-03 00:00:00,0.00936913932128285,-0.004807894273288458
2010-08-04 00:00:00,0.002207475495664601,0.006032877796327922
2010-08-05 00:00:00,-0.0015905075986590634,-0.001269329274444191
2010-08-06 00:00:00,-0.005281966883645684,-0.00371091561381247
2010-08-09 00:00:00,0.008690625320203794,0.005468086738551316
2010-08-10 00:00:00,-0.004390506683716345,-0.005985281186129317
2010-08-11 00:00:00,-0.02947179282661012,-0.028583406087846878
2010-08-12 00:00:00,0.0029355886240454154,-0.005393266997002659
2010-08-13 00:00:00,-0.014775600505689046,-0.004031690387752677
2010-08-16 00:00:00,0.004752393316941272,0.00012045139728069066
2010-08-17 00:00:00,0.01513263811832277,0.012118489435572154
2010-08-18 00:00:00,-0.0033110419644330597,0.0014816803789212323
2010-08-19 00:00:00,0.022021321848688047,-0.01708043558372522
2010-08-20 00:00:00,0.00529934506069385,-0.0036697544109411404
2010-08-23 00:00:00,-0.009431057975445854,-0.004048490744854887
2010-08-24 00:00:00,-0.0005939653339737672,-0.014618768144024182
2010-08-25 00:00:00,0.005433268421077442,0.003283944751226509
2010-08-26 00:00:00,-0.013527023689294444,-0.007714466245583577
2010-08-27 00:00:00,0.01501740803450735,0.016450710288579973
2010-08-30 00:00:00,-0.020506832963030436,-0.01482861122973444
2010-08-31 00:00:00,-0.01526676986760363,0.00039071798423921374
2010-09-01 00:00:00,0.056831858178347495,0.029077736381012003
2010-09-02 00:00:00,0.018833172109706545,0.009039853424428423
2010-09-03 00:00:00,0.01741488556823927,0.013132393625520246
2010-09-07 00:00:00,-0.005977982190801413,-0.011537491460393304
2010-09-08 00:00:00,0.011162567886870624,0.006418059219686464
2010-09-09 00:00:00,-0.0062077987773576215,0.004820652427429762
2010-09-10 00:00:00,0.001052085044908835,0.004851544933806266
2010-09-13 00:00:00,0.015180241332362822,0.011069126079166661
2010-09-14 00:00:00,-0.0022252701276604505,-0.0007133731911982945
2010-09-15 00:00:00,0.008076222991311454,0.0035348831760045264
2010-09-16 00:00:00,0.0008223052877229346,-0.000364409958688709
2010-09-17 00:00:00,-0.0020648854584187862,0.0008265144343415354
2010-09-20 00:00:00,0.021820976427125327,0.01509528778461361
2010-09-21 00:00:00,0.010290615493385013,-0.0025673134358753695
2010-09-22 00:00:00,0.002731262938900603,-0.004837172795714621
2010-09-23 00:00:00,0.004903076725867583,-0.008366239964729929
2010-09-24 00:00:00,0.03372163098754375,0.020972915644036146
2010-09-27 00:00:00,-0.007553535584594617,-0.005683553386865458
2010-09-28 00:00:00,-0.001356759590614298,0.004838660743415136
2010-09-29 00:00:00,-0.004573906036277275,-0.0025911131428738386
2010-09-30 00:00:00,-0.02333188901767207,-0.003088486447579065
2010-10-01 00:00:00,-0.009631468827486,0.004406714306030849
2010-10-04 00:00:00,-0.008401729621675137,-0.008067386576345757
2010-10-05 00:00:00,0.025391042550559725,0.02064672276826112
2010-10-06 00:00:00,-0.02385987471111535,-0.0006722302036622207
2010-10-07 00:00:00,0.0001666808277560382,-0.001647875486924716
2010-10-08 00:00:00,0.007722028279134264,0.006103612465109146
2010-10-11 00:00:00,-0.0032336769389950558,0.0001458263805056018
2010-10-12 00:00:00,0.003037790212652447,0.0038114843129234224
2010-10-13 00:00:00,-3.8980578443626856e-05,0.007095785512305897
2010-10-14 00:00:00,0.00016112007388919842,-0.003648032189774301
2010-10-15 00:00:00,0.03289227662356242,0.0020254321817851466
2010-10-18 00:00:00,0.012269781696394255,0.007217635088856449
2010-10-19 00:00:00,-0.020563738954615166,-0.016004644436954384
2010-10-20 00:00:00,0.005128151322853292,0.01046908301523976
2010-10-21 00:00:00,0.0028237153134488048,0.0017723371049611014
2010-10-22 00:00:00,-0.0006631176494461766,0.00238640853948694
2010-10-25 00:00:00,0.002420398842260818,0.002144670094265431
2010-10-26 00:00:00,-0.0006038923746031211,1.688553757575432e-05
2010-10-27 00:00:00,0.006184018043468819,-0.002694210081088503
2010-10-28 00:00:00,0.0017122448737645127,0.0011242171313259608
2010-10-29 00:00:00,-0.004245568264006972,-0.0004393833647071589
2010-11-01 00:00:00,-0.010394861035704129,0.0009460856181215534
2010-11-02 00:00:00,0.008247775261985725,0.007729335723566519
2010-11-03 00:00:00,0.002445062355845673,0.0036713067380409877
2010-11-04 00:00:00,0.030521045905500557,0.019099304690195256
2010-11-05 00:00:00,0.0015965792566828845,0.0039150790586847195
2010-11-08 00:00:00,0.00893709471218158,-0.002123210160636447
2010-11-09 00:00:00,-0.005135962397842109,-0.00808489488190263
